natural_object|artifact, artefact
personal_judgement|judgment_in_rem, judgement_in_rem
judgment_in_rem|judgment_in_personam, judgement_in_personam, personal_judgment, personal_judgement
judgement_in_rem|judgment_in_personam, judgement_in_personam, personal_judgment, personal_judgement
general_verdict|special_verdict
special_verdict|general_verdict
acquittal|conviction, judgment_of_conviction, condemnation, sentence
prosecution|defense, defence, denial, demurrer
criminal_prosecution|defense, defence, denial, demurrer
defense|prosecution, criminal_prosecution
defence|prosecution, criminal_prosecution
denial|prosecution, criminal_prosecution
demurrer|prosecution, criminal_prosecution
segregation|integration, integrating, desegregation
sequestration|integration, integrating, desegregation
integration|segregation, sequestration
integrating|segregation, sequestration
desegregation|segregation, sequestration
cooperation|competition, contention, rivalry
conformity|nonconformity, nonconformance, disobedience, noncompliance
conformation|nonconformity, nonconformance, disobedience, noncompliance
compliance|nonconformity, nonconformance, disobedience, noncompliance
abidance|nonconformity, nonconformance, disobedience, noncompliance
honoring|nonobservance
observance|nonobservance
nonobservance|honoring, observance
nonconformity|conformity, conformation, compliance, abidance
nonconformance|conformity, conformation, compliance, abidance
service|disservice, ill_service, ill_turn
disservice|service
ill_service|service
ill_turn|service
blessing|disapproval
approval|disapproval
approving|disapproval
assembly|dismantling, dismantlement, disassembly
assemblage|dismantling, dismantlement, disassembly
gathering|dismantling, dismantlement, disassembly
attendance|nonattendance
attending|nonattendance
presence|absence
nonattendance|attendance, attending
absence|presence
centralization|decentralization, decentralisation
centralisation|decentralization, decentralisation
decentralization|centralization, centralisation
decentralisation|centralization, centralisation
engagement|non-engagement, nonparticipation, non-involvement, non-engagement, nonparticipation, non-involvement, non-engagement, nonparticipation, non-involvement
participation|non-engagement, nonparticipation, non-involvement, non-engagement, nonparticipation, non-involvement, non-engagement, nonparticipation, non-involvement
involvement|non-engagement, nonparticipation, non-involvement, non-engagement, nonparticipation, non-involvement, non-engagement, nonparticipation, non-involvement
involution|non-engagement, nonparticipation, non-involvement, non-engagement, nonparticipation, non-involvement, non-engagement, nonparticipation, non-involvement
non-engagement|engagement, participation, involvement, involution, engagement, participation, involvement, involution, engagement, participation, involvement, involution
nonparticipation|engagement, participation, involvement, involution, engagement, participation, involvement, involution, engagement, participation, involvement, involution
non-involvement|engagement, participation, involvement, involution, engagement, participation, involvement, involution, engagement, participation, involvement, involution
female|male
male|female
parasite|host
host|parasite
eukaryote|prokaryote, procaryote
eucaryote|prokaryote, procaryote
prokaryote|eukaryote, eucaryote
procaryote|eukaryote, eucaryote
soft-finned_fish|spiny-finned_fish, acanthopterygian
malacopterygian|spiny-finned_fish, acanthopterygian
ratite|carinate, carinate_bird, flying_bird
ratite_bird|carinate, carinate_bird, flying_bird
flightless_bird|carinate, carinate_bird, flying_bird
