natural_object|artifact, artefact
feminineness|maleness, masculinity
coldness|hotness, heat, high_temperature
cold|hotness, heat, high_temperature
low_temperature|hotness, heat, high_temperature
frigidity|hotness, heat, high_temperature
frigidness|hotness, heat, high_temperature
hotness|coldness, cold, low_temperature, frigidity, frigidness
heat|coldness, cold, low_temperature, frigidity, frigidness
high_temperature|coldness, cold, low_temperature, frigidity, frigidness
perceptibility|imperceptibility
visibility|invisibility, invisibleness
visibleness|invisibility, invisibleness
invisibility|visibility, visibleness
invisibleness|visibility, visibleness
audibility|inaudibility, inaudibleness
audibleness|inaudibility, inaudibleness
inaudibility|audibility, audibleness
inaudibleness|audibility, audibleness
imperceptibility|perceptibility
elasticity|inelasticity
snap|inelasticity
malleability|unmalleability
plasticity|unmalleability
flexibility|inflexibility, inflexibleness
flexibleness|inflexibility, inflexibleness
inelasticity|elasticity, snap
unmalleability|malleability, plasticity
inflexibility|flexibility, flexibleness
inflexibleness|flexibility, flexibleness
heaviness|lightness, weightlessness
weightiness|lightness, weightlessness
lightness|heaviness, weightiness
weightlessness|heaviness, weightiness
strength|weakness
good_part|weak_part, weak_spot, soft_spot
firmness|unsoundness
soundness|unsoundness
invulnerability|vulnerability
acidity|alkalinity
alkalinity|acidity
weakness|strength
weak_part|good_part
weak_spot|good_part
soft_spot|good_part
vulnerability|invulnerability
destructibility|indestructibility
indestructibility|destructibility
earliness|lateness
lateness|earliness
priority|posteriority, subsequentness, subsequence
antecedence|posteriority, subsequentness, subsequence
antecedency|posteriority, subsequentness, subsequence
anteriority|posteriority, subsequentness, subsequence
precedence|posteriority, subsequentness, subsequence
precedency|posteriority, subsequentness, subsequence
posteriority|priority, antecedence, antecedency, anteriority, precedence, precedency
subsequentness|priority, antecedence, antecedency, anteriority, precedence, precedency
subsequence|priority, antecedence, antecedency, anteriority, precedence, precedency
punctuality|tardiness
promptness|tardiness
tardiness|punctuality, promptness
seasonableness|unseasonableness, untimeliness, unseasonableness, untimeliness
timeliness|unseasonableness, untimeliness, unseasonableness, untimeliness
unseasonableness|seasonableness, timeliness, seasonableness, timeliness
untimeliness|seasonableness, timeliness, seasonableness, timeliness
pastness|presentness, nowness, futurity
futurity|pastness, presentness, nowness
presentness|futurity, pastness
nowness|futurity, pastness
longness|shortness
shortness|longness
permanence|impermanence, impermanency
permanency|impermanence, impermanency
impermanence|permanence, permanency
impermanency|permanence, permanency
mortality|immortality
immortality|mortality
acceleration|deceleration, slowing, retardation
deceleration|acceleration
slowing|acceleration
retardation|acceleration
symmetry|asymmetry, dissymmetry, imbalance
symmetricalness|asymmetry, dissymmetry, imbalance
correspondence|asymmetry, dissymmetry, imbalance
balance|asymmetry, dissymmetry, imbalance
radial_symmetry|radial_asymmetry
asymmetry|symmetry, symmetricalness, correspondence, balance
dissymmetry|symmetry, symmetricalness, correspondence, balance
imbalance|symmetry, symmetricalness, correspondence, balance
radial_asymmetry|radial_symmetry
abruptness|gradualness, gentleness
precipitousness|gradualness, gentleness
steepness|gradualness, gentleness
gradualness|abruptness, precipitousness, steepness
gentleness|abruptness, precipitousness, steepness
angularity|roundness
point|unpointedness
pointedness|unpointedness
unpointedness|point, pointedness
roundness|angularity
concentricity|eccentricity
eccentricity|concentricity
straightness|crookedness
crookedness|straightness
curliness|straightness
waviness|straightness
straightness|curliness, waviness
centrality|marginality
marginality|centrality
anteriority|posteriority
posteriority|anteriority
outwardness|inwardness
externality|inwardness
inwardness|outwardness, externality
northernness|southernness
southernness|northernness
farness|nearness, closeness
remoteness|nearness, closeness
farawayness|nearness, closeness
nearness|farness, remoteness, farawayness
closeness|farness, remoteness, farawayness
distribution|concentration, density, denseness, tightness, compactness
dispersion|concentration, density, denseness, tightness, compactness
concentration|distribution, dispersion
density|distribution, dispersion
denseness|distribution, dispersion
tightness|distribution, dispersion
compactness|distribution, dispersion
profundity|superficiality, shallowness
profoundness|superficiality, shallowness
superficiality|profundity, profoundness
shallowness|profundity, profoundness
high|low
low|high
thickness|thinness, tenuity, slenderness
thinness|thickness
tenuity|thickness
slenderness|thickness
largeness|smallness, littleness, smallness, littleness
bigness|smallness, littleness, smallness, littleness
smallness|largeness, bigness, largeness, bigness
littleness|largeness, bigness, largeness, bigness
positivity|negativity, negativeness, negativity, negativeness
positiveness|negativity, negativeness, negativity, negativeness
negativity|positivity, positiveness, positivity, positiveness
negativeness|positivity, positiveness, positivity, positiveness
increase|decrease, decrement
increment|decrease, decrement
decrease|increase, increment
decrement|increase, increment
sufficiency|insufficiency, inadequacy, deficiency, insufficiency, inadequacy, deficiency
adequacy|insufficiency, inadequacy, deficiency, insufficiency, inadequacy, deficiency
insufficiency|sufficiency, adequacy, sufficiency, adequacy
inadequacy|sufficiency, adequacy, sufficiency, adequacy
deficiency|sufficiency, adequacy, sufficiency, adequacy
abundance|scarcity, scarceness
copiousness|scarcity, scarceness
teemingness|scarcity, scarceness
scarcity|abundance, copiousness, teemingness
scarceness|abundance, copiousness, teemingness
moderation|immoderation, immoderateness
moderateness|immoderation, immoderateness
immoderation|moderation, moderateness
immoderateness|moderation, moderateness
majority|minority
bulk|minority
minority|majority, bulk
longness|shortness
shortness|longness
deepness|shallowness
profundity|shallowness
profoundness|shallowness
shallowness|deepness, profundity, profoundness
wideness|narrowness
broadness|narrowness
narrowness|wideness, broadness
highness|lowness
loftiness|lowness
lowness|highness, loftiness
worth|worthlessness, ineptitude
merit|demerit, fault
virtue|demerit, fault
demerit|merit, virtue
fault|merit, virtue
worthlessness|worth
ineptitude|worth
desirability|undesirability
desirableness|undesirability
undesirability|desirability, desirableness
good|bad, badness, bad, badness
goodness|bad, badness, bad, badness
advantage|penalty
reward|penalty
bad|good, goodness, good, goodness
badness|good, goodness, good, goodness
expensiveness|inexpensiveness
inexpensiveness|expensiveness
fruitfulness|fruitlessness, aridity, barrenness
fecundity|fruitlessness, aridity, barrenness
productiveness|unproductiveness
productivity|unproductiveness
fruitlessness|fruitfulness, fecundity
aridity|fruitfulness, fecundity
barrenness|fruitfulness, fecundity
unproductiveness|productiveness, productivity
utility|inutility, uselessness, unusefulness, inutility, uselessness, unusefulness
usefulness|inutility, uselessness, unusefulness, inutility, uselessness, unusefulness
inutility|utility, usefulness, utility, usefulness
uselessness|utility, usefulness, utility, usefulness
unusefulness|utility, usefulness, utility, usefulness
practicality|impracticality
practicability|impracticability, impracticableness, impracticability, impracticableness
practicableness|impracticability, impracticableness, impracticability, impracticableness
feasibility|infeasibility, unfeasibility
feasibleness|infeasibility, unfeasibility
impracticality|practicality
impracticability|practicability, practicableness, practicability, practicableness
impracticableness|practicability, practicableness, practicability, practicableness
infeasibility|feasibility, feasibleness
unfeasibility|feasibility, feasibleness
competence|incompetence, incompetency
competency|incompetence, incompetency
incompetence|competence, competency
incompetency|competence, competency
asset|liability
plus|liability
advantage|disadvantage
vantage|disadvantage
profitableness|unprofitableness, unprofitability, unprofitableness, unprofitability
profitability|unprofitableness, unprofitability, unprofitableness, unprofitability
gainfulness|unprofitableness, unprofitability, unprofitableness, unprofitability
lucrativeness|unprofitableness, unprofitability, unprofitableness, unprofitability
expedience|inexpedience, inexpediency, inexpedience, inexpediency
expediency|inexpedience, inexpediency, inexpedience, inexpediency
forte|weak_point
strong_suit|weak_point
long_suit|weak_point
metier|weak_point
specialty|weak_point
speciality|weak_point
strong_point|weak_point
strength|weak_point
weak_point|forte, strong_suit, long_suit, metier, specialty, speciality, strong_point, strength
wisdom|unsoundness
wiseness|unsoundness
soundness|unsoundness
unsoundness|firmness, soundness, wisdom, wiseness, soundness
advisability|inadvisability
favorableness|unfavorableness, unfavourableness
favourableness|unfavorableness, unfavourableness
advantageousness|unfavorableness, unfavourableness
positivity|unfavorableness, unfavourableness
positiveness|unfavorableness, unfavourableness
profitableness|unfavorableness, unfavourableness
auspiciousness|inauspiciousness, unpropitiousness, inauspiciousness, unpropitiousness
propitiousness|inauspiciousness, unpropitiousness, inauspiciousness, unpropitiousness
liability|asset, plus
disadvantage|advantage, vantage
unfavorableness|favorableness, favourableness, advantageousness, positivity, positiveness, profitableness
unfavourableness|favorableness, favourableness, advantageousness, positivity, positiveness, profitableness
inauspiciousness|auspiciousness, propitiousness, auspiciousness, propitiousness
unpropitiousness|auspiciousness, propitiousness, auspiciousness, propitiousness
penalty|advantage, reward
inadvisability|advisability
inexpedience|expedience, expediency, expedience, expediency
inexpediency|expedience, expediency, expedience, expediency
unprofitableness|profitableness, profitability, gainfulness, lucrativeness, profitableness, profitability, gainfulness, lucrativeness
unprofitability|profitableness, profitability, gainfulness, lucrativeness, profitableness, profitability, gainfulness, lucrativeness
constructiveness|destructiveness
destructiveness|constructiveness
positivity|negativity, negativeness, negativism, negativity, negativeness, negativism
positiveness|negativity, negativeness, negativism, negativity, negativeness, negativism
positivism|negativity, negativeness, negativism, negativity, negativeness, negativism
negativity|positivity, positiveness, positivism, positivity, positiveness, positivism
negativeness|positivity, positiveness, positivism, positivity, positiveness, positivism
negativism|positivity, positiveness, positivism, positivity, positiveness, positivism
importance|unimportance
significance|insignificance
meaningfulness|meaninglessness
purposefulness|purposelessness, aimlessness
sense_of_purpose|purposelessness, aimlessness
consequence|inconsequence
import|inconsequence
moment|inconsequence
essentiality|inessentiality
essentialness|inessentiality
indispensability|dispensability, dispensableness, dispensability, dispensableness
indispensableness|dispensability, dispensableness, dispensability, dispensableness
vitalness|dispensability, dispensableness, dispensability, dispensableness
unimportance|importance
inessentiality|essentiality, essentialness
dispensability|indispensability, indispensableness, vitalness, indispensability, indispensableness, vitalness
dispensableness|indispensability, indispensableness, vitalness, indispensability, indispensableness, vitalness
insignificance|significance
meaninglessness|meaningfulness
purposelessness|purposefulness, sense_of_purpose
aimlessness|purposefulness, sense_of_purpose
inconsequence|consequence, import, moment
power|powerlessness, impotence, impotency, powerlessness, impotence, impotency
powerfulness|powerlessness, impotence, impotency, powerlessness, impotence, impotency
persuasiveness|unpersuasiveness
strength|unpersuasiveness
interest|uninterestingness
interestingness|uninterestingness
effectiveness|ineffectiveness, ineffectualness, ineffectuality
effectivity|ineffectiveness, ineffectualness, ineffectuality
effectualness|ineffectiveness, ineffectualness, ineffectuality
effectuality|ineffectiveness, ineffectualness, ineffectuality
efficacy|inefficacy, inefficaciousness
efficaciousness|inefficacy, inefficaciousness
ability|inability, unfitness
capability|incapability, incapableness, incapability, incapableness
capableness|incapability, incapableness, incapability, incapableness
capacity|incapacity
powerlessness|power, powerfulness, power, powerfulness
impotence|power, powerfulness, power, powerfulness
impotency|power, powerfulness, power, powerfulness
unpersuasiveness|persuasiveness, strength
uninterestingness|interest, interestingness
inability|ability
unfitness|ability
incapability|capability, capableness, capability, capableness
incapableness|capability, capableness, capability, capableness
incapacity|capacity
ineffectiveness|effectiveness, effectivity, effectualness, effectuality
ineffectualness|effectiveness, effectivity, effectualness, effectuality
ineffectuality|effectiveness, effectivity, effectualness, effectuality
inefficacy|efficacy, efficaciousness
inefficaciousness|efficacy, efficaciousness
infiniteness|finiteness, finitude, boundedness
infinitude|finiteness, finitude, boundedness
unboundedness|finiteness, finitude, boundedness
boundlessness|finiteness, finitude, boundedness
limitlessness|finiteness, finitude, boundedness
finiteness|infiniteness, infinitude, unboundedness, boundlessness, limitlessness
finitude|infiniteness, infinitude, unboundedness, boundlessness, limitlessness
boundedness|infiniteness, infinitude, unboundedness, boundlessness, limitlessness
solubility|insolubility
insolubility|solubility
optimism|pessimism
pessimism|optimism
responsiveness|unresponsiveness, deadness
unresponsiveness|responsiveness
deadness|responsiveness
solvability|unsolvability, insolubility, unsolvability, insolubility
solubility|unsolvability, insolubility, unsolvability, insolubility
unsolvability|solvability, solubility, solvability, solubility
insolubility|solvability, solubility, solvability, solubility
extensor_muscle|flexor_muscle, flexor
extensor|flexor_muscle, flexor
flexor_muscle|extensor_muscle, extensor
flexor|extensor_muscle, extensor
effector|sense_organ, sensory_receptor, receptor
sense_organ|effector
sensory_receptor|effector
receptor|effector
cortex|medulla
medulla|cortex
judiciousness|injudiciousness, indiscreetness
injudiciousness|judiciousness
indiscreetness|judiciousness
ability|inability
power|inability
intelligence|stupidity
aptitude|inaptitude
capacity|incapacity
mental_ability|incapacity
capability|incapability, incapableness
capableness|incapability, incapableness
potentiality|incapability, incapableness
perfectibility|imperfectibility
creativity|uncreativeness
creativeness|uncreativeness
creative_thinking|uncreativeness
Heaven|Hell, perdition, Inferno, infernal_region, nether_region, pit
Hell|Heaven
perdition|Heaven
Inferno|Heaven
infernal_region|Heaven
nether_region|Heaven
pit|Heaven
unconventionality|conventionality
literacy|illiteracy, analphabetism
skillfulness|unskillfulness
coordination|incoordination
incoordination|coordination
fluency|disfluency
disfluency|fluency
efficiency|inefficiency
inability|ability, power
stupidity|intelligence
inaptitude|aptitude
incapability|capability, capableness, potentiality
incapableness|capability, capableness, potentiality
imperfectibility|perfectibility
incapacity|capacity, mental_ability
unskillfulness|skillfulness
inefficiency|efficiency
illiteracy|literacy
analphabetism|literacy
uncreativeness|creativity, creativeness, creative_thinking
conventionality|unconventionality
kinesthesis|kinanesthesia
kinaesthesis|kinanesthesia
kinesthesia|kinanesthesia
kinaesthesia|kinanesthesia
kinesthetics|kinanesthesia
muscle_sense|kinanesthesia
sense_of_movement|kinanesthesia
kinanesthesia|kinesthesis, kinaesthesis, kinesthesia, kinaesthesia, kinesthetics, muscle_sense, sense_of_movement
merit_system|spoils_system
spoils_system|merit_system
consciousness|unconsciousness
awareness|incognizance
consciousness|incognizance
cognizance|incognizance
cognisance|incognizance
knowingness|incognizance
incognizance|awareness, consciousness, cognizance, cognisance, knowingness
self-consciousness|unselfconsciousness
unselfconsciousness|self-consciousness
sensibility|insensibility
esthesia|insensibility
aesthesia|insensibility
waking|sleeping
unconsciousness|consciousness
insensibility|sensibility, esthesia, aesthesia
sleeping|waking
certainty|doubt, uncertainty, incertitude, dubiety, doubtfulness, dubiousness
doubt|certainty
uncertainty|certainty
incertitude|certainty
dubiety|certainty
doubtfulness|certainty
dubiousness|certainty
attention|inattention
attending|inattention
attentiveness|inattentiveness, heedlessness
heed|inattentiveness, heedlessness
regard|inattentiveness, heedlessness
paying_attention|inattentiveness, heedlessness
inattention|attention, attending
inattentiveness|attentiveness, heed, regard, paying_attention
heedlessness|attentiveness, heed, regard, paying_attention
experience|inexperience, rawness
analysis|synthesis, synthetic_thinking
analytic_thinking|synthesis, synthetic_thinking
synthesis|analysis, analytic_thinking
synthetic_thinking|analysis, analytic_thinking
inwardness|outwardness
outwardness|inwardness
convergent_thinking|divergent_thinking, out-of-the-box_thinking
divergent_thinking|convergent_thinking
out-of-the-box_thinking|convergent_thinking
comprehension|incomprehension
incomprehension|comprehension
particular|general, general
specific|general, general
general|particular, specific, particular, specific
concept|misconception
conception|misconception
construct|misconception
type|antitype
antitype|type
convergence|divergence, divergency, divergence, divergency
convergency|divergence, divergency, divergence, divergency
divergence|convergence, convergency, convergence, convergency
divergency|convergence, convergency, convergence, convergency
beginning|middle, end
middle|end, beginning
end|beginning, middle
pleasure_principle|reality_principle
pleasure-pain_principle|reality_principle
pleasure-unpleasure_principle|reality_principle
reality_principle|pleasure_principle, pleasure-pain_principle, pleasure-unpleasure_principle
misconception|concept, conception, construct
yang|yin
yin|yang
figure|ground
ground|figure
belief|unbelief, disbelief
apophatism|cataphatism, doctrine_of_analogy, analogy
cataphatism|apophatism, doctrine_of_analogy, analogy
doctrine_of_analogy|apophatism, cataphatism
analogy|apophatism, cataphatism
formalism|imitation
imitation|formalism
internationalism|nationalism, nationalism
monism|pluralism
multiculturalism|nationalism
nationalism|multiculturalism, internationalism
nationalism|internationalism
pluralism|monism
environmentalism|hereditarianism
hereditarianism|environmentalism
unbelief|belief
disbelief|belief
enlightenment|unenlightenment
inexperience|experience
rawness|experience
unenlightenment|enlightenment
closed_interval|open_interval, unbounded_interval
bounded_interval|open_interval, unbounded_interval
open_interval|closed_interval, bounded_interval
unbounded_interval|closed_interval, bounded_interval
eugenics|dysgenics, cacogenics
dysgenics|eugenics
cacogenics|eugenics
atomism|holism, holistic_theory
atomic_theory|holism, holistic_theory
atomist_theory|holism, holistic_theory
atomistic_theory|holism, holistic_theory
holism|atomism, atomic_theory, atomist_theory, atomistic_theory
holistic_theory|atomism, atomic_theory, atomist_theory, atomistic_theory
wave_theory|corpuscular_theory, corpuscular_theory_of_light, corpuscular_theory, corpuscular_theory_of_light
undulatory_theory|corpuscular_theory, corpuscular_theory_of_light, corpuscular_theory, corpuscular_theory_of_light
wave_theory_of_light|corpuscular_theory, corpuscular_theory_of_light, corpuscular_theory, corpuscular_theory_of_light
corpuscular_theory|wave_theory, undulatory_theory, wave_theory_of_light, wave_theory, undulatory_theory, wave_theory_of_light
corpuscular_theory_of_light|wave_theory, undulatory_theory, wave_theory_of_light, wave_theory, undulatory_theory, wave_theory_of_light
classicism|Romanticism, Romantic_Movement
classicalism|Romanticism, Romantic_Movement
Romanticism|classicism, classicalism
Romantic_Movement|classicism, classicalism
descriptive_linguistics|prescriptive_linguistics
prescriptive_linguistics|descriptive_linguistics
Arianism|Athanasianism
Athanasianism|Arianism
partiality|impartiality, nonpartisanship
partisanship|impartiality, nonpartisanship
unfairness|fairness, fair-mindedness, candor, candour
impartiality|partiality, partisanship
nonpartisanship|partiality, partisanship
fairness|unfairness
fair-mindedness|unfairness
candor|unfairness
candour|unfairness
tolerance|intolerance
broad-mindedness|narrow-mindedness, narrowness
intolerance|tolerance
narrow-mindedness|broad-mindedness
narrowness|broad-mindedness
respect|disrespect
esteem|disrespect
regard|disrespect
disrespect|respect, esteem, regard
reverence|irreverence
irreverence|reverence
orthodoxy|unorthodoxy, heterodoxy, heresy
conformity|nonconformity, nonconformism, nonconformance, nonconformity, nonconformism, nonconformance
conformism|nonconformity, nonconformism, nonconformance, nonconformity, nonconformism, nonconformance
unorthodoxy|orthodoxy
heterodoxy|orthodoxy
heresy|orthodoxy
nonconformity|conformity, conformism, conformity, conformism
nonconformism|conformity, conformism, conformity, conformism
nonconformance|conformity, conformism, conformity, conformism
dovishness|hawkishness
hawkishness|dovishness
atheism|theism
godlessness|theism
theism|atheism, godlessness
monotheism|polytheism
polytheism|monotheism
recto|verso
verso|recto
snail_mail|electronic_mail, e-mail, email, electronic_mail, e-mail, email, electronic_mail, e-mail, email
electronic_mail|snail_mail, snail_mail, snail_mail
e-mail|snail_mail, snail_mail, snail_mail
email|snail_mail, snail_mail, snail_mail
antonym|synonym, equivalent_word
opposite_word|synonym, equivalent_word
opposite|synonym, equivalent_word
plural|singular, singular_form
plural_form|singular, singular_form
singular|plural, plural_form
singular_form|plural, plural_form
synonym|antonym, opposite_word, opposite
equivalent_word|antonym, opposite_word, opposite
nominative|oblique, oblique_case
nominative_case|oblique, oblique_case
subject_case|oblique, oblique_case
oblique|nominative, nominative_case, subject_case
oblique_case|nominative, nominative_case, subject_case
construction|misconstruction
grammatical_construction|misconstruction
expression|misconstruction
misconstruction|construction, grammatical_construction, expression
proper_noun|common_noun
proper_name|common_noun
common_noun|proper_noun, proper_name
flashback|flash-forward
flash-forward|flashback
trade_book|textbook, text, text_edition, schoolbook, school_text
trade_edition|textbook, text, text_edition, schoolbook, school_text
textbook|trade_book, trade_edition
text|trade_book, trade_edition
text_edition|trade_book, trade_edition
schoolbook|trade_book, trade_edition
school_text|trade_book, trade_edition
software|hardware, computer_hardware
software_program|hardware, computer_hardware
computer_software|hardware, computer_hardware
software_system|hardware, computer_hardware
software_package|hardware, computer_hardware
package|hardware, computer_hardware
object_program|source_program
target_program|source_program
source_program|object_program, target_program
euphemism|dysphemism
dysphemism|euphemism
air_mail|surface_mail
surface_mail|air_mail
cordial_reception|inhospitality
hospitality|inhospitality
inhospitality|cordial_reception, hospitality
pro|con
con|pro
intervention|nonintervention, noninterference, nonintervention, noninterference
interference|nonintervention, noninterference, nonintervention, noninterference
nonintervention|intervention, interference, intervention, interference
noninterference|intervention, interference, intervention, interference
approval|disapproval
commendation|disapproval
approbation|disapprobation, condemnation
encouragement|discouragement
disapproval|approval, commendation
disapprobation|approbation
condemnation|approbation
truth|falsehood, falsity, untruth
true_statement|falsehood, falsity, untruth
direct_evidence|circumstantial_evidence, indirect_evidence
circumstantial_evidence|direct_evidence
indirect_evidence|direct_evidence
particular|universal, universal_proposition, universal, universal_proposition
particular_proposition|universal, universal_proposition, universal, universal_proposition
universal|particular, particular_proposition, particular, particular_proposition
universal_proposition|particular, particular_proposition, particular, particular_proposition
categorem|syncategorem, syncategoreme, syncategorem, syncategoreme
categoreme|syncategorem, syncategoreme, syncategorem, syncategoreme
syncategorem|categorem, categoreme, categorem, categoreme
syncategoreme|categorem, categoreme, categorem, categoreme
falsehood|truth, true_statement
falsity|truth, true_statement
untruth|truth, true_statement
exaggeration|understatement
overstatement|understatement
magnification|understatement
understatement|exaggeration, overstatement, magnification
indication|contraindication
contraindication|indication
Arabic_numeral|Roman_numeral
Hindu_numeral|Roman_numeral
Hindu-Arabic_numeral|Roman_numeral
Roman_numeral|Arabic_numeral, Hindu_numeral, Hindu-Arabic_numeral
superscript|subscript, inferior
superior|subscript, inferior
subscript|superscript, superior
inferior|superscript, superior
capital|small_letter, lowercase, lower-case_letter, minuscule
capital_letter|small_letter, lowercase, lower-case_letter, minuscule
uppercase|small_letter, lowercase, lower-case_letter, minuscule
upper-case_letter|small_letter, lowercase, lower-case_letter, minuscule
majuscule|small_letter, lowercase, lower-case_letter, minuscule
small_letter|capital, capital_letter, uppercase, upper-case_letter, majuscule
lowercase|capital, capital_letter, uppercase, upper-case_letter, majuscule
lower-case_letter|capital, capital_letter, uppercase, upper-case_letter, majuscule
minuscule|capital, capital_letter, uppercase, upper-case_letter, majuscule
typewriter_font|proportional_font
constant-width_font|proportional_font
fixed-width_font|proportional_font
monospaced_font|proportional_font
proportional_font|typewriter_font, constant-width_font, fixed-width_font, monospaced_font
modern|old_style, old_style_font
modern_font|old_style, old_style_font
Bodoni|old_style, old_style_font
Bodoni_font|old_style, old_style_font
old_style|modern, modern_font, Bodoni, Bodoni_font
old_style_font|modern, modern_font, Bodoni, Bodoni_font
key|atonality, atonalism
tonality|atonality, atonalism
atonality|key, tonality
atonalism|key, tonality
artificial_language|natural_language, tongue
multidimensional_language|one-dimensional_language
one-dimensional_language|multidimensional_language
stratified_language|unstratified_language
unstratified_language|stratified_language
natural_language|artificial_language
tongue|artificial_language
comedy|tragedy
tragedy|comedy
monophony|polyphony, polyphonic_music, concerted_music, polyphony, polyphonic_music, concerted_music
monophonic_music|polyphony, polyphonic_music, concerted_music, polyphony, polyphonic_music, concerted_music
monody|polyphony, polyphonic_music, concerted_music, polyphony, polyphonic_music, concerted_music
polyphony|monophony, monophonic_music, monody, monophony, monophonic_music, monody
polyphonic_music|monophony, monophonic_music, monody, monophony, monophonic_music, monody
concerted_music|monophony, monophonic_music, monody, monophony, monophonic_music, monody
preparation|resolution
resolution|preparation
augmentation|diminution
diminution|augmentation
terseness|verboseness, verbosity
verboseness|terseness
verbosity|terseness
vowel|consonant
vowel_sound|consonant
consonant|vowel, vowel_sound
stop_consonant|continuant_consonant, continuant
stop|continuant_consonant, continuant
occlusive|continuant_consonant, continuant
plosive_consonant|continuant_consonant, continuant
plosive_speech_sound|continuant_consonant, continuant
plosive|continuant_consonant, continuant
continuant_consonant|stop_consonant, stop, occlusive, plosive_consonant, plosive_speech_sound, plosive
continuant|stop_consonant, stop, occlusive, plosive_consonant, plosive_speech_sound, plosive
indirect_discourse|direct_discourse, direct_quotation
direct_discourse|indirect_discourse
direct_quotation|indirect_discourse
agreement|disagreement
disagreement|agreement
question|answer
inquiry|answer
enquiry|answer
query|answer
interrogation|answer
answer|question, inquiry, enquiry, query, interrogation
affirmative|negative
yes|no
yea|nay
negative|affirmative
no|yes
nay|yea
persuasion|dissuasion
suasion|dissuasion
dissuasion|persuasion, suasion
discouragement|encouragement
beginning|ending, conclusion, finish
ending|beginning
conclusion|beginning
finish|beginning
embarrassment|disembarrassment
disembarrassment|embarrassment
failure|success
success|failure
birth|death, decease, expiry
nativity|death, decease, expiry
nascency|death, decease, expiry
nascence|death, decease, expiry
live_birth|spontaneous_abortion, miscarriage, stillbirth
appearance|disappearance
egress|ingress, immersion, ingress, immersion
emersion|ingress, immersion, ingress, immersion
ingress|egress, emersion, egress, emersion
immersion|egress, emersion, egress, emersion
rise|fall, downfall
disappearance|appearance
death|birth, nativity, nascency, nascence
decease|birth, nativity, nascency, nascence
expiry|birth, nativity, nascency, nascence
decrease|increase
lessening|increase
drop-off|increase
increase|decrease, lessening, drop-off
gravitation|levitation
levitation|gravitation
fall|rise, rising, ascent, ascension
high_tide|low_tide, low_water
high_water|low_tide, low_water
highwater|low_tide, low_water
low_tide|high_tide, high_water, highwater
low_water|high_tide, high_water, highwater
ebbtide|flood_tide, flood, rising_tide
flood_tide|ebbtide
flood|ebbtide
rising_tide|ebbtide
neap_tide|springtide
neap|springtide
springtide|neap_tide, neap
waxing|waning
waning|waxing
strengthening|weakening
weakening|strengthening
fall|rise
downfall|rise
cross-fertilization|self-fertilization, self-fertilisation
cross-fertilisation|self-fertilization, self-fertilisation
allogamy|autogamy
self-fertilization|cross-fertilization, cross-fertilisation
self-fertilisation|cross-fertilization, cross-fertilisation
autogamy|allogamy
cross-pollination|self-pollination
self-pollination|cross-pollination
dextrorotation|levorotation, counterclockwise_rotation
clockwise_rotation|levorotation, counterclockwise_rotation
levorotation|dextrorotation, clockwise_rotation
counterclockwise_rotation|dextrorotation, clockwise_rotation
rise|fall
rising|fall
ascent|fall
ascension|fall
victory|defeat, licking
triumph|defeat, licking
defeat|victory, triumph
licking|victory, triumph
aphrodisia|anaphrodisia
anaphrodisia|aphrodisia
pleasure|pain, painfulness
pleasance|pain, painfulness
pleasantness|unpleasantness
pain|pleasure, pleasance
painfulness|pleasure, pleasance
unpleasantness|pleasantness
liking|dislike
inclination|disinclination
friendliness|unfriendliness
approval|disapproval
Anglophilia|Anglophobia
philogyny|misogyny, misogynism
dislike|liking
disinclination|inclination
Anglophobia|Anglophilia
unfriendliness|friendliness
disapproval|approval
gratitude|ingratitude, ungratefulness
ingratitude|gratitude
ungratefulness|gratitude
concern|unconcern
unconcern|concern
pride|humility, humbleness
pridefulness|humility, humbleness
humility|pride, pridefulness
humbleness|pride, pridefulness
levity|gravity, solemnity
gravity|levity
solemnity|levity
agitation|calmness
calmness|agitation
fear|fearlessness, bravery
fearfulness|fearlessness, bravery
fright|fearlessness, bravery
diffidence|confidence
self-doubt|confidence
self-distrust|confidence
fearlessness|fear, fearfulness, fright
bravery|fear, fearfulness, fright
confidence|diffidence, self-doubt, self-distrust
happiness|sadness, unhappiness
joy|sorrow
joyousness|sorrow
joyfulness|sorrow
euphoria|dysphoria
euphory|dysphoria
cheerfulness|cheerlessness, uncheerfulness
blitheness|cheerlessness, uncheerfulness
contentment|discontentment, discontent, discontentedness
satisfaction|dissatisfaction
sadness|happiness
unhappiness|happiness
sorrow|joy, joyousness, joyfulness
cheerlessness|cheerfulness, blitheness
uncheerfulness|cheerfulness, blitheness
discontentment|contentment
discontent|contentment
discontentedness|contentment
dysphoria|euphoria, euphory
dissatisfaction|satisfaction
hope|despair
hopefulness|hopelessness
optimism|pessimism
despair|hope
hopelessness|hopefulness
pessimism|optimism
love|hate, hatred
benevolence|malevolence, malignity
beneficence|maleficence
hate|love
hatred|love
misogyny|philogyny
misogynism|philogyny
malevolence|benevolence
malignity|benevolence
maleficence|beneficence
good_humor|ill_humor, ill_humour, distemper
good_humour|ill_humor, ill_humour, distemper
good_temper|ill_humor, ill_humour, distemper
amiability|ill_humor, ill_humour, distemper
ill_humor|good_humor, good_humour, good_temper, amiability
ill_humour|good_humor, good_humour, good_temper, amiability
distemper|good_humor, good_humour, good_temper, amiability
